"subject_1","Grade_1","subject_2","number_students","PPE_TakingSubj2","PPE_NOTTakingSubj2"
"Accounting/Finance","*","Ancient History",0,"z","z"
"Accounting/Finance","*","Arabic",0,"z","z"
"Accounting/Finance","*","Art & Design",0,"z","z"
"Accounting/Finance","*","Art & Design (3d Studies)",0,"z","z"
"Accounting/Finance","*","Art & Design (Critical Studies)",0,"z","z"
"Accounting/Finance","*","Art & Design (Fine Art)",1,"z","z"
"Accounting/Finance","*","Art & Design (Graphics)",0,"z","z"
"Accounting/Finance","*","Art & Design (Photography)",0,"z","z"
"Accounting/Finance","*","Art & Design (Textiles)",0,"z","z"
"Accounting/Finance","*","Bengali",0,"z","z"
"Accounting/Finance","*","Biology",0,"z","z"
"Accounting/Finance","*","Business  Studies:Single",20,"z","z"
"Accounting/Finance","*","Chemistry",1,"z","z"
"Accounting/Finance","*","Chinese",0,"z","z"
"Accounting/Finance","*","Classical Civilisation",0,"z","z"
"Accounting/Finance","*","Classical Greek",0,"z","z"
"Accounting/Finance","*","Computer Studies/Computing",2,"z","z"
"Accounting/Finance","*","D&T Engineering",0,"z","z"
"Accounting/Finance","*","D&T Product Design",0,"z","z"
"Accounting/Finance","*","D&T Textiles Technology",0,"z","z"
"Accounting/Finance","*","Dance",1,"z","z"
"Accounting/Finance","*","Design & Technology",0,"z","z"
"Accounting/Finance","*","Drama & Theatre Studies",1,"z","z"
"Accounting/Finance","*","Economics",13,"z","z"
"Accounting/Finance","*","Electronics",0,"z","z"
"Accounting/Finance","*","English Language",1,"z","z"
"Accounting/Finance","*","English Language & Literature",0,"z","z"
"Accounting/Finance","*","English Literature",1,"z","z"
"Accounting/Finance","*","Environmental Science",0,"z","z"
"Accounting/Finance","*","Film Studies",0,"z","z"
"Accounting/Finance","*","French",0,"z","z"
"Accounting/Finance","*","Geography",1,"z","z"
"Accounting/Finance","*","Geology",0,"z","z"
"Accounting/Finance","*","German",0,"z","z"
"Accounting/Finance","*","Government & Politics",0,"z","z"
"Accounting/Finance","*","Gujarati",0,"z","z"
"Accounting/Finance","*","History",2,"z","z"
"Accounting/Finance","*","History of Art",0,"z","z"
"Accounting/Finance","*","Home Economics: Food",0,"z","z"
"Accounting/Finance","*","Information & Communications Technology",0,"z","z"
"Accounting/Finance","*","Irish",0,"z","z"
"Accounting/Finance","*","Italian",0,"z","z"
"Accounting/Finance","*","Japanese",0,"z","z"
"Accounting/Finance","*","Latin",0,"z","z"
"Accounting/Finance","*","Law",0,"z","z"
"Accounting/Finance","*","Logic/ Philosophy",0,"z","z"
"Accounting/Finance","*","Mathematics",25,"z","z"
"Accounting/Finance","*","Mathematics (Further)",5,"z","z"
"Accounting/Finance","*","Mathematics (Statistics)",0,"z","z"
"Accounting/Finance","*","Media/Film/Tv Studies",0,"z","z"
"Accounting/Finance","*","Modern Greek",0,"z","z"
"Accounting/Finance","*","Modern Hebrew",0,"z","z"
"Accounting/Finance","*","Music",0,"z","z"
"Accounting/Finance","*","Music Technology",0,"z","z"
"Accounting/Finance","*","Other Classical Languages",0,"z","z"
"Accounting/Finance","*","Persian",0,"z","z"
"Accounting/Finance","*","Physical Education/Sports Studies",1,"z","z"
"Accounting/Finance","*","Physics",0,"z","z"
"Accounting/Finance","*","Polish",0,"z","z"
"Accounting/Finance","*","Portuguese",0,"z","z"
"Accounting/Finance","*","Psychology",2,"z","z"
"Accounting/Finance","*","Punjabi",0,"z","z"
"Accounting/Finance","*","Religious Studies",0,"z","z"
"Accounting/Finance","*","Russian",0,"z","z"
"Accounting/Finance","*","Sociology",2,"z","z"
"Accounting/Finance","*","Spanish",0,"z","z"
"Accounting/Finance","*","Turkish",0,"z","z"
"Accounting/Finance","*","Urdu",0,"z","z"
"Accounting/Finance","A","Ancient History",0,"z","z"
"Accounting/Finance","A","Arabic",0,"z","z"
"Accounting/Finance","A","Art & Design",0,"z","z"
"Accounting/Finance","A","Art & Design (3d Studies)",0,"z","z"
"Accounting/Finance","A","Art & Design (Critical Studies)",0,"z","z"
"Accounting/Finance","A","Art & Design (Fine Art)",2,"z","z"
"Accounting/Finance","A","Art & Design (Graphics)",3,"z","z"
"Accounting/Finance","A","Art & Design (Photography)",0,"z","z"
"Accounting/Finance","A","Art & Design (Textiles)",1,"z","z"
