subject_1,subject_2,number_students,PPE_TakingSubj2,PPE_NOTTakingSubj2,Performance_Diff
Accounting/Finance,Ancient History,52,25.44,30.65,-5.21
Accounting/Finance,Arabic,8,21.7,30.22,-8.52
Accounting/Finance,Art & Design,19,18.96,29.49,-10.53
Accounting/Finance,Art & Design (3d Studies),40,16.75,28.96,-12.21
Accounting/Finance,Art & Design (Critical Studies),0,NA,30.13,NA
Accounting/Finance,Art & Design (Fine Art),75,25.24,24.41,0.83
Accounting/Finance,Art & Design (Graphics),107,31.24,32.38,-1.14
Accounting/Finance,Art & Design (Photography),42,20.26,30.64,-10.38
Accounting/Finance,Art & Design (Textiles),38,30.11,24.32,5.79
Accounting/Finance,Bengali,0,NA,26.59,NA
Accounting/Finance,Biology,256,29.9,29.18,0.72
Accounting/Finance,Business  Studies:Single,5239,33.71,32.69,1.02
Accounting/Finance,Chemistry,217,34.57,31.07,3.5
Accounting/Finance,Chinese,33,33.16,26.66,6.5
Accounting/Finance,Classical Civilisation,16,34.92,30.09,4.83
Accounting/Finance,Classical Greek,0,NA,26.91,NA
Accounting/Finance,Computer Studies/Computing,638,33.32,31.74,1.58
Accounting/Finance,D&T Engineering,27,25.98,29.5,-3.52
Accounting/Finance,D&T Product Design,77,21.92,25.16,-3.24
Accounting/Finance,D&T Textiles Technology,0,NA,24.13,NA
Accounting/Finance,Dance,19,44.63,29.79,14.84
Accounting/Finance,Design & Technology,0,NA,30.66,NA
Accounting/Finance,Drama & Theatre Studies,23,22.29,24.81,-2.52
Accounting/Finance,Economics,3583,27.5,24.49,3.01
Accounting/Finance,Electronics,35,31.92,30.43,1.49
Accounting/Finance,English Language,94,29.49,31.51,-2.02
Accounting/Finance,English Language & Literature,39,24.32,29.52,-5.2
Accounting/Finance,English Literature,102,28.67,30.05,-1.38
Accounting/Finance,Environmental Science,14,29.32,31.17,-1.85
Accounting/Finance,Film Studies,43,26.81,27.54,-0.73
Accounting/Finance,French,22,28.49,33.01,-4.52
Accounting/Finance,Geography,501,33.18,32.74,0.44
Accounting/Finance,Geology,19,47.73,32.88,14.85
Accounting/Finance,German,0,NA,24.79,NA
Accounting/Finance,Government & Politics,91,24.61,24.71,-0.1
Accounting/Finance,Gujarati,0,NA,24.7,NA
Accounting/Finance,History,375,31.45,32.3,-0.85
Accounting/Finance,History of Art,0,NA,32.79,NA
Accounting/Finance,Home Economics: Food,0,NA,31.45,NA
Accounting/Finance,Information & Communications Technology,0,NA,26.93,NA
Accounting/Finance,Irish,0,NA,27.71,NA
Accounting/Finance,Italian,10,12.78,27.97,-15.19
Accounting/Finance,Japanese,0,NA,30.78,NA
Accounting/Finance,Latin,0,NA,25.55,NA
Accounting/Finance,Law,685,25.94,29.13,-3.19
Accounting/Finance,Logic/ Philosophy,13,23.59,28.77,-5.18
Accounting/Finance,Mathematics,3540,37.46,27.52,9.94
Accounting/Finance,Mathematics (Further),215,47.49,30.3,17.19
